cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat,Id,poisonous
f,y,n,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,5976,1
f,f,g,False,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,d,1671,1
f,f,y,False,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d,7672,1
f,s,p,True,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p,3220,0
f,f,e,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,797,0
f,y,e,False,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,5582,1
x,f,g,False,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,6714,1
x,s,g,False,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d,5580,1
f,y,n,True,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d,1084,0
x,s,y,True,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,6441,0
b,s,b,True,n,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,m,867,1
f,y,g,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,128,0
x,y,g,False,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g,4433,1
b,y,y,True,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,3417,0
f,f,w,False,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,3318,0
k,s,g,False,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g,7129,0
f,f,n,True,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d,2471,0
f,f,g,False,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g,787,1
x,s,e,False,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,863,1
x,y,n,False,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d,3496,1
x,y,g,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,1574,0
k,y,e,False,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,3650,1
f,s,w,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,431,0
f,f,g,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,2470,0
x,y,e,False,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,2831,1
b,s,y,True,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,2034,0
f,s,n,False,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,n,v,l,3218,0
f,s,n,False,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,b,c,l,2004,0
x,y,e,True,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,1316,0
f,y,y,True,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,259,0
x,y,n,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d,6152,0
k,y,e,False,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,444,1
f,y,n,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,3033,0
x,y,n,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,7500,1
x,s,n,False,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,1427,1
x,f,y,False,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,2222,1
f,y,y,False,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d,5253,1
f,y,c,False,m,f,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d,3,1
x,y,n,False,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,7188,1
f,f,y,False,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,4532,1
f,f,y,True,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,1057,0
x,f,y,False,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,1805,1
k,s,n,False,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,b,v,l,906,0
f,y,n,True,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,2298,0
x,f,g,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,5962,0
x,f,y,True,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,7315,0
x,f,w,False,n,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,s,g,1592,0
x,f,g,False,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g,4576,0
f,y,n,True,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,4351,0
b,f,w,False,n,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,n,g,327,0
x,f,g,False,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,81,0
k,s,e,False,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,5982,1
x,y,n,True,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,3950,0
f,y,n,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,7062,0
f,y,g,True,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,7949,0
x,s,g,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,3095,0
k,y,e,False,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,6748,1
x,s,e,False,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,3868,1
f,y,e,False,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,5339,1
x,y,y,True,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,7696,0
x,s,y,True,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,4774,0
b,f,w,False,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,n,g,357,0
x,s,w,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,757,0
x,y,w,True,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,1307,0
x,s,e,True,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,298,0
x,y,n,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,2088,1
f,y,n,False,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,1134,1
f,y,w,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,3667,1
x,y,g,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,1315,0
f,s,g,True,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,g,4417,1
f,y,n,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,2048,0
x,f,n,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,6276,0
x,s,g,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,5236,0
x,f,e,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d,3112,0
x,s,n,False,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,o,c,l,4030,0
x,y,e,False,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,414,1
f,f,y,False,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,3333,1
x,y,e,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,6107,0
k,y,e,True,n,f,c,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w,3058,0
x,f,e,True,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d,773,0
x,f,n,True,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,2903,0
k,s,g,False,n,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,s,g,2886,0
x,f,g,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,83,0
x,y,g,True,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,6262,0
f,s,n,False,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,1998,1
f,f,n,True,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,4107,0
f,y,g,False,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,1198,1
x,y,g,False,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,6244,1
f,y,n,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,6100,1
f,y,n,True,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,514,0
x,y,g,True,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,6733,0
b,s,w,False,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,n,g,1547,0
f,y,y,False,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g,7031,1
f,y,e,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,4220,0
k,f,g,False,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g,4966,0
f,f,g,False,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,5367,1
b,s,g,False,n,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,s,g,6308,0
x,f,w,False,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,s,g,1777,0
k,s,p,True,n,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w,763,0
x,f,g,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,7199,0
x,s,n,False,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,1186,1
f,f,e,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d,2117,0
k,f,g,False,n,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,s,g,1795,0
f,f,y,False,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p,3115,1
x,s,b,True,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,u,6094,1
k,s,e,False,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,7755,1
x,s,y,True,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,5171,0
x,s,w,True,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,1768,1
f,s,n,False,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,7605,0
x,y,e,False,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,4446,1
x,y,y,True,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,567,0
f,f,g,False,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,3752,1
x,y,g,False,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,3334,1
x,y,e,False,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,6004,1
x,f,y,False,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d,7280,1
x,f,g,True,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,1874,0
x,y,e,True,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d,3637,0
f,y,y,False,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,6223,1
x,s,n,False,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,7601,1
f,y,g,False,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,7224,1
f,y,y,False,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,5777,1
x,f,e,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,6039,0
x,s,y,True,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,4324,0
f,s,w,True,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,2323,0
f,y,u,False,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d,4786,0
x,f,g,False,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,740,1
x,y,n,True,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,1433,0
f,y,n,False,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,2432,1
x,y,y,True,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,2599,0
f,s,w,True,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,389,1
k,s,e,False,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,1503,1
f,f,g,False,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,3003,0
x,f,g,False,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,d,3089,1
f,f,g,False,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d,5261,1
f,y,g,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,6620,0
f,y,n,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,3662,0
f,f,e,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d,2485,0
f,s,n,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,6189,0
x,s,p,False,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,1931,1
f,f,g,False,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,2829,1
x,y,y,True,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,5700,0
f,y,e,True,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,2525,0
f,f,n,False,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,1507,0
x,y,e,False,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,3567,1
x,f,w,False,n,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,n,g,4285,0
x,s,w,False,n,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,n,g,5280,0
f,f,e,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,2934,0
k,s,n,False,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,4632,1
f,y,e,False,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,258,1
x,y,e,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,2673,0
x,s,g,True,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,5062,1
x,f,g,True,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,1313,0
f,s,w,False,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,3591,0
f,f,e,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,4082,0
x,s,b,True,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,u,1857,1
x,s,n,False,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,y,v,l,4222,0
f,y,y,False,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,1997,1
f,f,g,False,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d,6406,1
x,f,e,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,4797,0
x,y,e,False,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,4338,1
f,y,y,True,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,1478,0
f,f,e,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,7869,0
x,y,e,False,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,4768,1
x,f,n,False,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,714,0
b,y,w,True,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,1364,0
x,s,e,False,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d,5568,1
x,f,n,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,2285,0
x,y,n,True,n,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w,6928,0
f,y,w,True,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,3277,1
f,f,y,False,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,6556,1
f,s,w,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,4732,0
x,y,g,False,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,7164,1
k,s,n,False,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,7686,1
f,y,e,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,d,4545,0
f,y,e,False,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,8030,1
x,s,b,True,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,g,1513,1
f,s,w,True,f,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,v,u,138,1
f,f,e,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d,4667,0
k,s,e,False,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,5771,1
b,f,g,False,n,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,n,g,7339,0
f,f,n,False,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,2700,0
f,f,n,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,3907,0
x,f,g,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,5572,0
f,y,g,False,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g,2752,1
f,y,g,False,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d,5368,1
x,f,g,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,5625,0
k,y,n,False,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,6191,1
f,y,e,False,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,2507,1
x,s,n,False,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,2055,1
f,s,g,True,f,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,u,7082,1
x,s,g,False,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,1648,0
x,f,y,True,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,6640,0
f,y,e,False,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,1207,1
x,s,g,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,4960,0
k,y,n,False,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,5013,1
f,f,g,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,1105,0
x,f,g,False,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d,1190,1
x,f,g,False,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,6983,1
f,f,g,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,7169,0
x,s,e,False,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,1839,1
k,y,n,False,m,a,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d,2052,1
x,y,n,False,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,2109,1
f,y,n,False,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,6481,1
x,y,y,False,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,7953,1
f,y,g,False,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d,6491,1
f,y,y,True,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,1658,0
x,y,y,True,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,777,0
x,y,n,False,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,1270,1
f,f,y,True,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,7127,0
x,y,e,False,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,2337,1
x,f,g,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,490,0
x,s,w,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,5341,0
k,s,w,False,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g,527,0
f,s,n,False,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,1352,1
x,f,g,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,5496,0
f,f,g,False,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,3309,1
f,f,w,True,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,1815,0
x,f,g,False,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,6799,0
x,y,g,True,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d,6176,0
x,f,y,False,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,4936,1
f,y,n,False,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,6519,1
x,y,g,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,6252,0
x,y,e,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,3547,0
k,s,n,True,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w,2150,0
x,f,w,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,7065,0
f,s,n,False,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,6514,0
f,f,g,False,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d,5114,1
x,s,b,True,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,u,98,1
f,f,g,False,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,4610,1
x,f,n,True,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,5276,0
x,f,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,3940,0
f,s,n,False,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,6348,0
x,y,n,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,5163,0
b,s,g,False,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g,7460,0
f,y,n,True,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,5493,0
f,f,e,True,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,3819,0
x,y,n,False,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p,4467,1
f,s,n,False,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,1496,1
f,s,n,False,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d,4930,1
f,y,n,True,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,2185,0
x,y,n,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,2790,0
x,s,n,False,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,6689,1
x,y,y,True,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,6151,0
f,y,e,False,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,6192,1
f,y,y,False,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g,6270,1
x,y,g,False,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d,1540,1
f,s,e,False,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,1468,1
x,y,n,True,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,3687,0
f,f,y,False,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,6140,1
x,f,e,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,2481,0
x,s,w,False,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,627,0
x,y,g,False,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,6073,1
b,s,y,True,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,1504,0
f,f,y,True,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,4608,0
f,y,n,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d,3306,0
f,f,g,False,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,4624,1
x,f,y,False,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d,5718,1
x,y,e,False,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,1908,1
f,f,n,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,5494,0
f,f,y,False,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,6534,1
x,y,y,False,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,3521,1
x,s,w,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,3365,0
f,y,e,False,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,2327,1
f,f,e,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,2972,0
x,s,y,True,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,3542,0
x,s,n,False,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,n,c,l,1774,0
x,f,g,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,7191,0
x,y,b,True,n,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w,4818,0
x,s,e,False,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,5005,1
x,y,e,True,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,1473,0
f,f,y,False,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,4161,1
b,s,b,True,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g,2698,1
k,y,n,False,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,3631,1
x,s,n,False,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,2372,1
x,y,n,False,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,7624,1
f,s,e,False,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,7520,1
f,s,w,True,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,3762,1
x,y,g,False,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,5773,1
f,y,e,False,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,2827,1
f,y,e,False,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,7582,1
f,s,n,False,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,5583,1
x,y,g,False,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d,6091,1
b,y,y,False,n,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d,464,1
